N,L,R0,M,T,Util,Idle,Collisions
394,20,16,6,50000,57.550000000000004,21.698,10376
395,20,16,6,50000,57.302,21.848,10425
396,20,16,6,50000,56.264,22.344,10696
397,20,16,6,50000,57.474000000000004,21.742,10392
398,20,16,6,50000,57.794000000000004,21.55,10328
399,20,16,6,50000,58.544,21.198,10129
400,20,16,6,50000,56.720000000000006,22.073999999999998,10603
401,20,16,6,50000,57.482,21.695999999999998,10411
402,20,16,6,50000,57.4,21.732000000000003,10434
403,20,16,6,50000,58.040000000000006,21.416,10272
404,20,16,6,50000,58.599999999999994,21.152,10124
405,20,16,6,50000,56.720000000000006,22.073999999999998,10603
406,20,16,6,50000,56.16799999999999,22.37,10731
407,20,16,6,50000,56.879999999999995,21.998,10561
408,20,16,6,50000,57.68,21.568,10376
409,20,16,6,50000,57.79,21.528,10341
410,20,16,6,50000,56.720000000000006,22.054000000000002,10613
411,20,16,6,50000,57.292,21.762,10473
412,20,16,6,50000,56.96,21.9,10570
413,20,16,6,50000,57.120000000000005,21.828,10526
414,20,16,6,50000,56.864000000000004,21.984,10576
415,20,16,6,50000,57.912,21.396,10346
416,20,16,6,50000,57.534,21.59,10438
417,20,16,6,50000,56.68,22.02,10650
418,20,16,6,50000,56.24,22.259999999999998,10750
419,20,16,6,50000,58.08,21.312,10304
420,20,16,6,50000,57.446,21.636,10459
421,20,16,6,50000,56.510000000000005,22.112000000000002,10689
422,20,16,6,50000,56.846,21.914,10620
423,20,16,6,50000,55.92,22.38,10850
424,20,16,6,50000,57.398,21.67,10466
425,20,16,6,50000,55.7,22.466,10917
426,20,16,6,50000,57.99999999999999,21.368000000000002,10316
427,20,16,6,50000,55.778000000000006,22.444,10889
428,20,16,6,50000,57.267999999999994,21.684,10524
429,20,16,6,50000,56.27799999999999,22.168,10777
430,20,16,6,50000,56.83200000000001,21.93,10619
431,20,16,6,50000,57.786,21.448,10383
432,20,16,6,50000,55.800000000000004,22.404,10898
433,20,16,6,50000,55.276,22.664,11030
434,20,16,6,50000,55.706,22.418,10938
435,20,16,6,50000,55.84,22.366,10897
436,20,16,6,50000,56.279999999999994,22.166,10777
437,20,16,6,50000,55.303999999999995,22.618,11039
438,20,16,6,50000,55.92,22.33,10875
439,20,16,6,50000,56.333999999999996,22.108,10779
440,20,16,6,50000,56.120000000000005,22.189999999999998,10845
441,20,16,6,50000,56.68,21.918000000000003,10701
442,20,16,6,50000,56.58,21.97,10725
443,20,16,6,50000,55.312,22.592000000000002,11048
444,20,16,6,50000,56.8,21.886,10657
445,20,16,6,50000,56.054,22.220000000000002,10863
446,20,16,6,50000,56.814,21.84,10673
447,20,16,6,50000,55.400000000000006,22.52,11040
448,20,16,6,50000,56.162,22.152,10843
449,20,16,6,50000,55.879999999999995,22.292,10914
450,20,16,6,50000,55.826,22.34,10917
451,20,16,6,50000,56.36,22.042,10799
452,20,16,6,50000,56.00000000000001,22.268,10866
453,20,16,6,50000,56.558,21.962,10740
454,20,16,6,50000,56.76,21.828,10706
455,20,16,6,50000,55.559999999999995,22.448,10996
456,20,16,6,50000,56.114,22.144,10871
457,20,16,6,50000,56.87,21.8,10665
458,20,16,6,50000,57.24,21.612000000000002,10574
459,20,16,6,50000,56.089999999999996,22.146,10882
460,20,16,6,50000,56.52,21.962,10759
461,20,16,6,50000,54.734,22.846,11210
462,20,16,6,50000,55.346,22.484,11085
463,20,16,6,50000,56.16,22.104,10868
464,20,16,6,50000,55.120000000000005,22.66,11110
465,20,16,6,50000,55.986000000000004,22.208,10903
466,20,16,6,50000,56.04,22.156000000000002,10902
467,20,16,6,50000,55.274,22.57,11078
468,20,16,6,50000,56.99999999999999,21.704,10648
469,20,16,6,50000,56.720000000000006,21.818,10731
470,20,16,6,50000,56.92,21.734,10673
471,20,16,6,50000,55.162,22.59,11124
472,20,16,6,50000,57.496,21.442,10531
473,20,16,6,50000,55.279999999999994,22.538,11091
474,20,16,6,50000,56.96,21.684,10678
475,20,16,6,50000,56.086000000000006,22.122,10896
476,20,16,6,50000,56.846,21.722,10716
477,20,16,6,50000,55.248,22.522000000000002,11115
478,20,16,6,50000,56.00000000000001,22.203999999999997,10898
479,20,16,6,50000,56.99999999999999,21.676000000000002,10662
480,20,16,6,50000,57.599999999999994,21.336,10532
481,20,16,6,50000,55.32,22.506,11087
482,20,16,6,50000,55.08,22.61,11155
483,20,16,6,50000,56.84,21.746,10707
484,20,16,6,50000,55.60000000000001,22.358,11021
485,20,16,6,50000,56.2,22.042,10879
486,20,16,6,50000,56.455999999999996,21.92,10812
487,20,16,6,50000,55.800000000000004,22.24,10980
488,20,16,6,50000,55.745999999999995,22.252,11001
489,20,16,6,50000,56.838,21.704,10729
490,20,16,6,50000,57.04,21.642,10659
491,20,16,6,50000,55.574,22.342000000000002,11042
492,20,16,6,50000,56.2,22.009999999999998,10895
493,20,16,6,50000,55.67999999999999,22.3,11010
494,20,16,6,50000,55.84,22.222,10969
495,20,16,6,50000,55.559999999999995,22.358,11041
496,20,16,6,50000,55.61000000000001,22.31,11040
497,20,16,6,50000,55.662,22.292,11023
498,20,16,6,50000,55.616,22.328,11028
499,20,16,6,50000,55.800000000000004,22.228,10986
500,20,16,6,50000,57.062000000000005,21.592,10673
